Comments,Classes
Tu bohot bekar aadmi hai.,A
Aap ki baat bilkul sahi hai.,NA
Chal nikal yahan se bewakoof!,A
Yeh movie bohot achi thi.,NA
Tera dimagh kharab hai kya?,A
Mujhe tumhari baat pasand ayi.,NA
Tum bilkul pagal ho.,A
Bahut zabardast performance thi.,NA
Tu kitna jahil hai.,A
Aaj mausam bohot acha hai.,NA
Tujhe sharam nahi aati?,A
Tumhari soch bohot achi hai.,NA
"Chal hatt, dimagh mat kharab kar.",A
Tumhara mashwara bohot acha tha.,NA
Teri soorat dekh kar hasi aati hai.,A
Yeh kitab bohot informative hai.,NA
Tujhe samajh nahi aati kya?,A
Bohot shukriya madad karne ka.,NA
Tujh se baat karna time waste hai.,NA
Aap ka tareeqa sahi lag raha hai.,NA
"Bakwas band kar, samjha?",A
Yeh jagah bohot khubsurat hai.,NA
Teri harkatein bilkul bewaqoofon wali hain.,A
Mujhe yeh kaam karna pasand hai.,NA
Tumhari akal ghaas charne gayi hai kya?,A
Yeh information bohot kaam ki hai.,NA
Tera munh band kar warna acha nahi hoga.,A
Bohot achi presentation di tumne.,NA
Tu ek number ka jhutha aadmi hai.,A
Yeh system kaafi efficient hai.,NA
Kya bakwas kar raha hai tu?,A
Tumhari mehnat qabil-e-tareef hai.,NA
Tum se ziada bewaqoof insan nahi dekha.,A
Yeh lecture bohot informative tha.,NA
Tum sirf dosron ki burai karna jante ho.,A
Tumne bohot acha kaam kiya hai.,NA
Tujhe kisi baat ki samajh nahi aati.,A
Yeh design bohot creative hai.,NA
Teri baton ka koi sar-pair nahi hai.,A
Tumhari soch bohot logical hai.,NA
"Chal nikal yahan se, samjha?",A
Yeh training bohot helpful thi.,NA
Tujh se zyada jhutha insan nahi dekha.,A
Yeh coding style kaafi clean hai.,NA
Tera sochna bhi chhoti soch ka saboot hai.,A
Yeh restaurant bohot acha hai.,NA
Tu sirf dosron ki burai karna janta hai.,A
Tumhari madad se kaafi asani hui.,NA
Tera dimagh ghaas charne gaya hai kya?,A
Yeh tutorial bohot easy to understand hai.,NA
Teri baat sunne ka koi faida nahi.,A
Aap ka idea bohot unique hai.,NA
Tujhe akal nahi hai kya?,A
Tumhara kaam bohot behtareen hai.,NA
Tu sirf bakwas karna janta hai.,A
Yeh project bohot well-organized hai.,NA
"Chal hatt, mujhe tang mat kar.",A
Tumhara attitude bohot professional hai.,NA
Tu bilkul hi bewaqoof hai.,A
Tumhara plan bohot acha hai.,NA
Teri harkatein ghatiya hain.,A
Yeh software kaafi user-friendly hai.,NA
"Chal nikal, mujhe teri shakl bhi nahi dekhni.",A
Yeh course bohot interesting hai.,NA
Tujh jese log sirf masail khade karte hain.,A
Tumhara tareeqa kaafi impressive hai.,NA
Tujh se baat karna fazool hai.,A
Yeh model bohot accurate results de raha hai.,NA
Teri baat ka koi sar-pair nahi hai.,A
Yeh technology bohot advanced hai.,NA
Tu sirf apni tarif sunna chahta hai.,A
Yeh solution kaafi effective hai.,NA
"Chal hatt, mujhe time mat waste kar.",A
Yeh method kaafi reliable hai.,NA
Teri baat bilkul bakwas hai.,A
Yeh concept bohot acha explain kiya gaya hai.,NA
Tu bas dosron ki buraiyan nikalne me expert hai.,A
Yeh research paper kaafi insightful hai.,NA
Tera sochna bhi bekaar hai.,A
Yeh idea kaafi innovative hai.,NA
"Chal bhaag yahan se, samjha?",A
Tumhara kaam bohot professional hai.,NA
Tu bilkul akal se paidal hai.,A
Yeh strategy bohot smart hai.,NA
Tu sirf apni baat manwana chahta hai.,A
Yeh approach bohot systematic hai.,NA
Tujh se behtar koi nahi samajhta is field ko.,NA
Teri soorat dekhne layak nahi.,A
Yeh lecture bohot well-structured tha.,NA
Tu sirf bewakoofi wali baatein karta hai.,A
Tumhara research topic kaafi valuable hai.,NA
Tujhe samajh nahi aati kya?,A
Yeh discussion bohot informative tha.,NA
Chal apni bakwas band kar.,A
Yeh book kaafi insightful hai.,NA
Tera logic bilkul zero hai.,A
Yeh case study bohot well-documented hai.,NA
bhot achy,NA
Good Job,NA
bund mein gaya sheru to chain mein fas gaya bechara paapey,A
Maami ko kuch nhi pta,NA
bond me gaya shero,A
Me B asay he karu gi JB shadi ho jay gii,NA
log itny kosh kasy rhaty han hamre TU tension hi hatm nai hoti,NA
Mujhea ap bhot Pasand ha Allah pak ap ko dunia kia hr Khushi dea ameen,NA
Shahzaib mazrat Asy nhi krty.,NA
match wala faisla Sahi h but roasting wala thk NH Bhai.....q k kch videos asi hoti hn Jin k khilaf koe n bulta ap bulty n..,NA
Yehi wajah hy mera leader ab tak qaed maan nhi raha kisi bhe deal sy,NA
Bhai sardio ki rat b tahajud nhe chorta tha,NA
CHAPRI PRO MAX,A
Are Brooo Pasandida Aurat Milne K Baad Main Banda Chill Ho Jata Hai,NA
jung larni h murwani ni h,NA
Hafiz Sahab dharam dhek k Nahi chodte,A
hun Ae Knjri dassy gi tameez sanu,A
Me to hyran es bat py hun ky yeh uk gie kysy,NA
Bharat ki gand mar den gy,A
Mkc,A
jhot ma bolta ni such ki adat ni,NA
Bhai KAHA hu abhi,NA
sain sanghar me milna heeee apse,NA
Bhai Nawabshah kis Jagh Ruky ho batao Please,NA
Bhai apse ma Milne aoga nawashah ma allalwala chok pa ma daur SE aoga jub ap farikh ho muje reply Karna to ma aoga inbox ma,NA
Yarr ya to yaha he war gaya ager is ke fight shahzaib rind ke sath Hote to Kya HOTA,NA
Haan isko aur iske malik ko hi sabse zyada loota hai modiji ne.,NA
Harami pm modi bhadwa,A
Pheli baat toh mein North Indian nhi hu dusri baat apna kaam kar,NA
Aap to kuch bhi kro acche hi lagte ho,NA
Lgta he jo kal bach gya he Pakistan wo aj raat fatah kr le ga godi media,A
Yar ye drone kaha hai? Do second baad drone uski gaand mein ghos gaya.,A
Phir aagaye AI generated videos lay ka dunya ka samnay zaleel honay?,NA
Phir aagaye AI generated videos lay ka dunya ka samnay zaleel insaan,A
Bc drone mar rhe missile artillery pinak ye sab maro,A
Bhadwe.. teri kisi tweet ki tatti bhar value nahi hai.. sab bakwas jhuuth fake news tweet karta hai!,A
Gandmare apne dimaag ka ilaaj kara le fir homeopath se..,A
Bhut zahreeli bhabhi hai Kasmey,A
"Aur Sath main mentally abuse b ker rhy hoty k majbori ha tumse sex kerna , ",A
Kanjar and khassi army I don’t know why these bastrads checking inside the paints,A
Napak Foj Murdabad,A
Beghairat jhoot bolna band ker.,A
Tu sharm Kar k Pakistan AA ja na,A
Yh army wale haijre hn kia,A
ahahaha behn ka lora qadiyani,A
Shalwar Mey hath agay sey Dala tha ya pichay sey ? Or Bhai ki shalwar Mey Dala tha ya maa ki ? Pls explain,A
Kesa galeez insan he sympathy lene k liye apne ghr walon ki izzat hi dao pr lga di kmine ne,A
Badbaht lanti tu ak certified kuttaor dallal hai,A
Chl laanti ghadar,A
Tum ko kya pta izat kya zilat kya dollars k lye tery Agy in chezo ki kya haseat Hai,NA
Digital deshtgardo ko mantqi anjam tak punchya Jay,A
Hafiz sab Pura tun deo Anna no,NA
Pak fuj zindabad Pakistan payendabad,NA
Sarkar kabi to koi achi news bi media ki zeenat bannay dia karan hamashan negativity,NA
Mujhy iss bat py herani hy k ye camera man uss waqt khra tmasha dekh rhaa thaa,NA
Iss ko gharat na i,NA
Aur jo tamashai han unko juty parny chaiya han sab mil kar khoob maarty us akele na kia kar lena tha,A
Laanat aisy khanzeeron py,A
Iss begherat ko marnay k baad Punjab ki sarzameen bhe naseeb Nahi hogi,A
